time(sec),GPU0_L0,GPU0_L1,GPU0_L2,GPU0_L3
1.321052,0,0,0,0
1.322789,0,0,0,0
1.324517,0,0,0,0
1.326269,0,0,0,0
1.328002,0,0,0,0
1.329728,0,0,0,0
1.331529,0,0,0,0
1.333291,0,0,0,0
1.335033,0,0,0,0
1.336762,0,0,0,0
1.338501,0,0,0,0
1.340227,0,0,0,0
1.341967,0,0,0,0
1.343695,0,0,0,0
1.345437,0,0,0,0
1.347178,0,0,0,0
1.348906,0,0,0,0
1.350649,0,0,0,0
1.352449,0,0,0,0
1.354199,0,0,0,0
1.355927,0,0,0,0
1.357655,0,0,0,0
1.359382,0,0,0,0
1.361112,0,0,0,0
1.362854,0,0,0,0
1.364582,0,0,0,0
1.366340,0,0,0,0
1.368067,0,0,0,0
1.369795,0,0,0,0
1.371587,0,0,0,0
1.373336,0,0,0,0
1.375077,0,0,0,0
1.376803,0,0,0,0
1.378541,0,0,0,0
1.380267,0,0,0,0
1.382006,0,0,0,0
1.383734,0,0,0,0
1.385481,0,0,0,0
1.387223,0,0,0,0
1.388951,0,0,0,0
1.390699,0,0,0,0
1.392459,0,0,0,0
1.394212,0,0,0,0
1.395939,0,0,0,0
1.397666,0,0,0,0
1.399394,0,0,0,0
1.401123,0,0,0,0
1.402864,0,0,0,0
1.404592,0,0,0,0
1.406357,0,0,0,0
1.408084,0,0,0,0
1.409813,0,0,0,0
1.411604,0,0,0,0
1.413356,0,0,0,0
1.415097,0,0,0,0
1.416825,0,0,0,0
1.418563,0,0,0,0
1.420290,0,0,0,0
1.422033,0,0,0,0
1.423762,0,0,0,0
1.425499,0,0,0,0
1.427252,0,0,0,0
1.428980,0,0,0,0
1.430718,0,0,0,0
1.432511,0,0,0,0
1.434265,0,0,0,0
1.435993,0,0,0,0
1.437721,0,0,0,0
1.439449,0,0,0,0
1.441178,0,0,0,0
1.442920,0,0,0,0
1.444648,0,0,0,0
1.446400,0,0,0,0
1.448127,0,0,0,0
1.449856,0,0,0,0
1.451640,0,0,0,0
1.453385,0,0,0,0
1.455129,0,0,0,0
1.456855,0,0,0,0
1.458591,0,0,0,0
1.460318,0,0,0,0
1.462056,0,0,0,0
1.463784,0,0,0,0
1.465519,0,0,0,0
1.467267,0,0,0,0
1.468994,0,0,0,0
1.470731,0,0,0,0
1.472521,0,0,0,0
1.474275,0,0,0,0
1.476003,0,0,0,0
1.477732,0,0,0,0
1.479459,0,0,0,0
1.481188,0,0,0,0
1.482931,0,0,0,0
1.484658,0,0,0,0
1.486419,0,0,0,0
1.488147,0,0,0,0
1.489884,0,0,0,0
1.491655,0,0,0,0
1.493418,0,0,0,0
1.495158,0,0,0,0
1.496886,0,0,0,0
1.498624,0,0,0,0
1.500356,0,0,0,0
1.502099,0,0,0,0
1.503826,0,0,0,0
1.505560,0,0,0,0
1.507307,0,0,0,0
1.509039,0,0,0,0
1.510781,0,0,0,0
1.512569,0,0,0,0
1.514327,0,0,0,0
1.516054,0,0,0,0
1.517784,0,0,0,0
1.519511,0,0,0,0
1.521240,0,0,0,0
1.522982,0,0,0,0
1.524711,0,0,0,0
1.526471,0,0,0,0
1.528199,0,0,0,0
1.529945,0,0,0,0
1.531708,0,0,0,0
1.533461,0,0,0,0
1.535206,0,0,0,0
1.536952,0,0,0,0
1.538690,0,0,0,0
1.540417,0,0,0,0
1.542161,0,0,0,0
1.543889,0,0,0,0
1.545616,0,0,0,0
1.547366,0,0,0,0
1.549093,0,0,0,0
1.550831,0,0,0,0
1.552624,0,0,0,0
1.554382,0,0,0,0
1.556109,0,0,0,0
1.557838,0,0,0,0
1.559564,0,0,0,0
1.561294,0,0,0,0
1.563035,0,0,0,0
1.564762,0,0,0,0
1.566517,0,0,0,0
1.568245,0,0,0,0
1.569981,0,0,0,0
1.571725,0,0,0,0
1.573499,0,0,0,0
1.575244,0,0,0,0
1.576972,0,0,0,0
1.578710,0,0,0,0
1.580437,0,0,0,0
1.582179,0,0,0,0
1.583986,0,0,0,0
1.585713,0,0,0,0
1.587459,0,0,0,0
1.589186,0,0,0,0
1.590928,0,0,0,0
1.592722,0,0,0,0
1.594487,0,0,0,0
1.596214,0,0,0,0
1.597950,0,0,0,0
1.599677,0,0,0,0
