time(sec),GPU0_L0,GPU0_L1,GPU0_L2,GPU0_L3,GPU1_L0,GPU1_L1,GPU1_L2,GPU1_L3,GPU2_L0,GPU2_L1,GPU2_L2,GPU2_L3,GPU2_L4,GPU3_L0,GPU3_L1,GPU3_L2,GPU3_L3,GPU3_L4
0.935143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.939600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.944081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.948679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.953284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.957991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.962638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.967458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.972227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.977006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.981859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.986715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.991563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.996382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.001179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.006066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.010913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.015642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.020412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.025201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.030031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.034810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.039561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.044361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.049154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.053986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.058776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.063588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.068358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.073167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.077968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.082723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.087492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.092310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.097095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.101898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.106743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.111572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
